Glass_ID,Lot_ID,Product_Model,Raw_Glass_Batch,Line_ID,Machine_ID,Tool_ID,Fixture_ID,Operator_ID,Shift,Process_Time,Inspection_Station,Tool_Life_Pct,Spindle_Speed_rpm,Feed_Rate_mm_min,Coolant_Pressure_bar,Coolant_Pressure_Stability,Vacuum_Level_kPa,Chamfer_Width_mm,Chipping_Size_um,Thickness_mm,Warpage_mm,CS_MPa,DOL_um,Defect_Type,Defect_Location,AOI_Result,Final_Result
GLS-2026-0000001,LOT-2026-W07-B,CG-Model-C,RGB-8082,LINE-02,CNC-06,TOOL-13,FIX-C3,OP-007,Night,2026-02-06 04:14:14,AOI,62.3,23947,852.1,3.31,0.97,-86.3,0.2999,0.0,0.6937,0.0385,775.7,49.4,None,None,Pass,OK
GLS-2026-0000002,LOT-2026-W12-C,CG-Model-C,RGB-8592,LINE-01,CNC-05,TOOL-20,FIX-B1,OP-007,Swing,2026-03-17 21:20:48,AOI,70.9,23876,820.3,3.14,1.0,-84.3,0.2988,0.0,0.7037,0.0313,793.7,42.6,None,None,Pass,OK
GLS-2026-0000003,LOT-2026-W10-A,CG-Model-B,RGB-9132,LINE-01,CNC-05,TOOL-12,FIX-B1,OP-019,Night,2026-03-10 23:09:48,AOI,55.6,24065,869.1,2.93,0.885,-84.3,0.3149,0.0,0.6994,0.0379,796.9,46.6,None,None,Pass,OK
GLS-2026-0000004,LOT-2026-W06-A,CG-Model-B,RGB-9822,LINE-02,CNC-04,TOOL-01,FIX-C2,OP-009,Swing,2026-02-26 10:55:07,AOI,46.3,23772,794.0,2.89,0.876,-82.4,0.3071,0.0,0.6962,0.034,776.9,48.2,None,None,Pass,OK
GLS-2026-0000005,LOT-2026-W06-A,CG-Model-B,RGB-9468,LINE-02,CNC-02,TOOL-06,FIX-B2,OP-015,Night,2026-02-26 02:45:25,AOI,20.5,24044,815.1,3.16,0.952,-78.3,0.295,0.0,0.7024,0.0363,825.5,45.6,None,None,Pass,OK
GLS-2026-0000006,LOT-2026-W06-A,CG-Model-A,RGB-9796,LINE-02,CNC-04,TOOL-21,FIX-B3,OP-009,Night,2026-03-22 19:10:05,AOI,55.9,23918,862.5,2.88,0.862,-81.6,0.2958,0.0,0.7034,0.0523,798.1,49.8,None,None,Pass,OK
GLS-2026-0000007,LOT-2026-W07-B,CG-Model-C,RGB-8884,LINE-02,CNC-06,TOOL-12,FIX-C3,OP-027,Day,2026-02-05 23:38:10,AOI,75.7,23920,884.5,3.38,1.0,-87.9,0.3021,14.6,0.6975,0.0187,786.9,47.3,None,None,Pass,OK
GLS-2026-0000008,LOT-2026-W11-B,CG-Model-B,RGB-9709,LINE-01,CNC-05,TOOL-21,FIX-C1,OP-025,Day,2026-03-13 10:44:10,AOI,89.0,24271,812.3,3.14,0.974,-78.9,0.3144,53.3,0.7014,0.0233,772.9,44.6,None,None,Pass,OK
GLS-2026-0000009,LOT-2026-W09-D,CG-Model-B,RGB-8634,LINE-02,CNC-02,TOOL-17,FIX-A1,OP-025,Day,2026-02-12 16:26:44,AOI,44.6,24173,872.5,3.05,0.973,-83.4,0.2953,0.0,0.6997,0.0331,786.0,46.1,None,None,Pass,OK
GLS-2026-0000010,LOT-2026-W07-B,CG-Model-A,RGB-8316,LINE-01,CNC-02,TOOL-24,FIX-B1,OP-015,Night,2026-02-06 11:05:41,AOI,61.3,23928,868.2,3.06,0.925,-82.1,0.2881,0.0,0.7039,0.0405,778.1,47.0,None,None,Pass,OK
