Group_Type,Group_Value,Total_Count,NG_Count,Edge_Chipping_Count,NG_Rate,Edge_Chipping_Rate
Machine_ID,CNC-01,8412,287,218,3.41,2.59
Machine_ID,CNC-02,8291,292,230,3.52,2.77
Machine_ID,CNC-03,8211,263,208,3.2,2.53
Machine_ID,CNC-04,8214,427,367,5.2,4.47
Machine_ID,CNC-05,8511,284,217,3.34,2.55
Machine_ID,CNC-06,8361,374,320,4.47,3.83
Fixture_ID,FIX-A1,5513,224,180,4.06,3.27
Fixture_ID,FIX-A2,5560,181,143,3.26,2.57
Fixture_ID,FIX-A3,5513,220,175,3.99,3.17
Fixture_ID,FIX-B1,5444,199,166,3.66,3.05
Fixture_ID,FIX-B2,5552,269,227,4.85,4.09
Fixture_ID,FIX-B3,5496,211,166,3.84,3.02
Fixture_ID,FIX-C1,5753,257,220,4.47,3.82
Fixture_ID,FIX-C2,5602,199,149,3.55,2.66
Fixture_ID,FIX-C3,5567,167,134,3.0,2.41
Shift,Day,22561,733,572,3.25,2.54
Shift,Night,12466,714,618,5.73,4.96
Shift,Swing,14973,480,370,3.21,2.47
Tool_Life_Bin,Low_0_50,19946,176,14,0.88,0.07
Tool_Life_Bin,Mid_50_75,19590,155,25,0.79,0.13
Tool_Life_Bin,High_75_90,8476,954,893,11.26,10.54
Tool_Life_Bin,Critical_90_100,1988,642,628,32.29,31.59
Coolant_Stability_Bin,Unstable,10053,904,828,8.99,8.24
Coolant_Stability_Bin,Watch,15027,476,357,3.17,2.38
Coolant_Stability_Bin,Stable,24920,547,375,2.2,1.5
Tool_Life_Bin_x_Coolant_Stability_Bin,Low_0_50 | Unstable,4032,41,6,1.02,0.15
Tool_Life_Bin_x_Coolant_Stability_Bin,Low_0_50 | Watch,5985,49,2,0.82,0.03
Tool_Life_Bin_x_Coolant_Stability_Bin,Low_0_50 | Stable,9929,86,6,0.87,0.06
Tool_Life_Bin_x_Coolant_Stability_Bin,Mid_50_75 | Unstable,3931,33,8,0.84,0.2
Tool_Life_Bin_x_Coolant_Stability_Bin,Mid_50_75 | Watch,5849,58,9,0.99,0.15
Tool_Life_Bin_x_Coolant_Stability_Bin,Mid_50_75 | Stable,9810,64,8,0.65,0.08
Tool_Life_Bin_x_Coolant_Stability_Bin,High_75_90 | Unstable,1708,593,579,34.72,33.9
Tool_Life_Bin_x_Coolant_Stability_Bin,High_75_90 | Watch,2589,179,163,6.91,6.3
Tool_Life_Bin_x_Coolant_Stability_Bin,High_75_90 | Stable,4179,182,151,4.36,3.61
Tool_Life_Bin_x_Coolant_Stability_Bin,Critical_90_100 | Unstable,382,237,235,62.04,61.52
Tool_Life_Bin_x_Coolant_Stability_Bin,Critical_90_100 | Watch,604,190,183,31.46,30.3
Tool_Life_Bin_x_Coolant_Stability_Bin,Critical_90_100 | Stable,1002,215,210,21.46,20.96
Machine_ID_x_Fixture_ID,CNC-01 | FIX-A1,937,26,22,2.77,2.35
Machine_ID_x_Fixture_ID,CNC-01 | FIX-A2,932,29,20,3.11,2.15
Machine_ID_x_Fixture_ID,CNC-01 | FIX-A3,885,29,22,3.28,2.49
Machine_ID_x_Fixture_ID,CNC-01 | FIX-B1,955,32,27,3.35,2.83
Machine_ID_x_Fixture_ID,CNC-01 | FIX-B2,938,40,34,4.26,3.62
Machine_ID_x_Fixture_ID,CNC-01 | FIX-B3,933,31,19,3.32,2.04
Machine_ID_x_Fixture_ID,CNC-01 | FIX-C1,976,42,32,4.3,3.28
Machine_ID_x_Fixture_ID,CNC-01 | FIX-C2,933,31,20,3.32,2.14
Machine_ID_x_Fixture_ID,CNC-01 | FIX-C3,923,27,22,2.93,2.38
Machine_ID_x_Fixture_ID,CNC-02 | FIX-A1,891,31,24,3.48,2.69
Machine_ID_x_Fixture_ID,CNC-02 | FIX-A2,944,27,23,2.86,2.44
Machine_ID_x_Fixture_ID,CNC-02 | FIX-A3,1016,35,26,3.44,2.56
Machine_ID_x_Fixture_ID,CNC-02 | FIX-B1,894,26,20,2.91,2.24
Machine_ID_x_Fixture_ID,CNC-02 | FIX-B2,828,36,30,4.35,3.62
Machine_ID_x_Fixture_ID,CNC-02 | FIX-B3,901,35,26,3.88,2.89
Machine_ID_x_Fixture_ID,CNC-02 | FIX-C1,969,39,34,4.02,3.51
Machine_ID_x_Fixture_ID,CNC-02 | FIX-C2,932,35,24,3.76,2.58
Machine_ID_x_Fixture_ID,CNC-02 | FIX-C3,916,28,23,3.06,2.51
Machine_ID_x_Fixture_ID,CNC-03 | FIX-A1,901,35,28,3.88,3.11
Machine_ID_x_Fixture_ID,CNC-03 | FIX-A2,932,25,21,2.68,2.25
Machine_ID_x_Fixture_ID,CNC-03 | FIX-A3,917,33,26,3.6,2.84
Machine_ID_x_Fixture_ID,CNC-03 | FIX-B1,909,26,18,2.86,1.98
Machine_ID_x_Fixture_ID,CNC-03 | FIX-B2,900,30,23,3.33,2.56
Machine_ID_x_Fixture_ID,CNC-03 | FIX-B3,864,24,21,2.78,2.43
Machine_ID_x_Fixture_ID,CNC-03 | FIX-C1,969,40,31,4.13,3.2
Machine_ID_x_Fixture_ID,CNC-03 | FIX-C2,892,30,23,3.36,2.58
Machine_ID_x_Fixture_ID,CNC-03 | FIX-C3,927,20,17,2.16,1.83
Machine_ID_x_Fixture_ID,CNC-04 | FIX-A1,890,45,36,5.06,4.04
Machine_ID_x_Fixture_ID,CNC-04 | FIX-A2,917,38,31,4.14,3.38
Machine_ID_x_Fixture_ID,CNC-04 | FIX-A3,866,55,49,6.35,5.66
Machine_ID_x_Fixture_ID,CNC-04 | FIX-B1,884,47,45,5.32,5.09
Machine_ID_x_Fixture_ID,CNC-04 | FIX-B2,915,58,50,6.34,5.46
Machine_ID_x_Fixture_ID,CNC-04 | FIX-B3,957,49,41,5.12,4.28
Machine_ID_x_Fixture_ID,CNC-04 | FIX-C1,888,57,51,6.42,5.74
Machine_ID_x_Fixture_ID,CNC-04 | FIX-C2,973,45,36,4.62,3.7
Machine_ID_x_Fixture_ID,CNC-04 | FIX-C3,924,33,28,3.57,3.03
Machine_ID_x_Fixture_ID,CNC-05 | FIX-A1,968,37,30,3.82,3.1
Machine_ID_x_Fixture_ID,CNC-05 | FIX-A2,948,28,22,2.95,2.32
Machine_ID_x_Fixture_ID,CNC-05 | FIX-A3,904,32,21,3.54,2.32
Machine_ID_x_Fixture_ID,CNC-05 | FIX-B1,901,28,19,3.11,2.11
Machine_ID_x_Fixture_ID,CNC-05 | FIX-B2,1019,50,42,4.91,4.12
Machine_ID_x_Fixture_ID,CNC-05 | FIX-B3,918,33,24,3.59,2.61
Machine_ID_x_Fixture_ID,CNC-05 | FIX-C1,948,29,26,3.06,2.74
Machine_ID_x_Fixture_ID,CNC-05 | FIX-C2,940,24,18,2.55,1.91
Machine_ID_x_Fixture_ID,CNC-05 | FIX-C3,965,23,15,2.38,1.55
Machine_ID_x_Fixture_ID,CNC-06 | FIX-A1,926,50,40,5.4,4.32
Machine_ID_x_Fixture_ID,CNC-06 | FIX-A2,887,34,26,3.83,2.93
Machine_ID_x_Fixture_ID,CNC-06 | FIX-A3,925,36,31,3.89,3.35
Machine_ID_x_Fixture_ID,CNC-06 | FIX-B1,901,40,37,4.44,4.11
Machine_ID_x_Fixture_ID,CNC-06 | FIX-B2,952,55,48,5.78,5.04
Machine_ID_x_Fixture_ID,CNC-06 | FIX-B3,923,39,35,4.23,3.79
Machine_ID_x_Fixture_ID,CNC-06 | FIX-C1,1003,50,46,4.99,4.59
Machine_ID_x_Fixture_ID,CNC-06 | FIX-C2,932,34,28,3.65,3.0
Machine_ID_x_Fixture_ID,CNC-06 | FIX-C3,912,36,29,3.95,3.18
