Glass_ID,Lot_ID,Product_Model,Raw_Glass_Batch,Line_ID,Machine_ID,Tool_ID,Fixture_ID,Operator_ID,Shift,Process_Time,Inspection_Station,Tool_Life_Pct,Spindle_Speed_rpm,Feed_Rate_mm_min,Coolant_Pressure_bar,Coolant_Pressure_Stability,Vacuum_Level_kPa,Chamfer_Width_mm,Chipping_Size_um,Thickness_mm,Warpage_mm,CS_MPa,DOL_um,Defect_Type,Defect_Location,AOI_Result,Final_Result,Individual_Chipping_um,Moving_Range_Chipping_um,I_CL,I_UCL,I_LCL,MR_CL,MR_UCL,MR_LCL,I_OOC,MR_OOC
GLS-2026-0003688,LOT-2026-W08-C,CG-Model-A,RGB-8622,LINE-01,CNC-04,TOOL-21,FIX-B2,OP-015,Night,2026-03-27 13:58:41,AOI,74.6,23943,800.0,3.28,0.965,-77.2,0.3217,18.7,0.6994,0.0296,774.4,43.8,None,None,Pass,OK,18.7,,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0018630,LOT-2026-W08-C,CG-Model-B,RGB-8898,LINE-02,CNC-04,TOOL-03,FIX-A3,OP-013,Swing,2026-03-27 14:11:44,AOI,20.9,23686,796.7,3.19,0.974,-87.5,0.2986,0.0,0.7068,0.0163,759.5,48.4,None,None,Pass,OK,0.0,18.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0040826,LOT-2026-W08-C,CG-Model-B,RGB-9173,LINE-02,CNC-04,TOOL-16,FIX-C3,OP-005,Night,2026-03-27 14:16:56,AOI,46.5,24229,879.3,3.11,0.905,-82.1,0.2858,6.8,0.6953,0.0511,782.8,44.9,None,None,Pass,OK,6.8,6.8,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0049540,LOT-2026-W08-C,CG-Model-B,RGB-9339,LINE-01,CNC-04,TOOL-05,FIX-C1,OP-020,Swing,2026-03-27 14:37:34,AOI,83.5,24217,812.1,3.1,0.898,-80.5,0.3213,44.2,0.6992,0.0184,785.9,46.5,None,None,Pass,OK,44.2,37.400000000000006,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0016900,LOT-2026-W08-C,CG-Model-C,RGB-9012,LINE-01,CNC-04,TOOL-07,FIX-B3,OP-001,Day,2026-03-27 15:07:42,AOI,9.3,23317,792.9,2.95,0.92,-83.9,0.2822,0.0,0.7022,0.0212,784.1,43.7,None,None,Pass,OK,0.0,44.2,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0028846,LOT-2026-W08-C,CG-Model-A,RGB-9024,LINE-01,CNC-04,TOOL-12,FIX-B2,OP-003,Night,2026-03-27 15:20:39,AOI,44.5,24008,865.2,3.33,0.96,-78.1,0.3,85.0,0.7025,0.0477,780.1,46.9,Edge_Chipping,Corner,Fail,NG,85.0,85.0,12.19,66.13,0.0,20.28,66.25,0.0,True,True
GLS-2026-0015523,LOT-2026-W08-C,CG-Model-B,RGB-8835,LINE-01,CNC-04,TOOL-08,FIX-C2,OP-011,Day,2026-03-27 15:21:29,AOI,27.5,23545,842.6,3.13,0.956,-86.3,0.2929,0.0,0.6919,0.0147,772.7,49.0,None,None,Pass,OK,0.0,85.0,12.19,66.13,0.0,20.28,66.25,0.0,False,True
GLS-2026-0013373,LOT-2026-W08-C,CG-Model-B,RGB-8126,LINE-02,CNC-04,TOOL-14,FIX-C3,OP-027,Night,2026-03-27 15:26:53,AOI,39.3,24041,960.2,3.2,0.995,-86.1,0.2923,12.1,0.6978,0.0316,792.6,46.1,None,None,Pass,OK,12.1,12.1,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0031698,LOT-2026-W08-C,CG-Model-C,RGB-8861,LINE-01,CNC-04,TOOL-08,FIX-C3,OP-006,Swing,2026-03-27 16:02:58,AOI,31.5,24667,918.8,2.98,0.877,-82.4,0.3014,0.0,0.7016,0.0295,807.3,47.0,None,None,Pass,OK,0.0,12.1,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0049383,LOT-2026-W08-C,CG-Model-C,RGB-9276,LINE-01,CNC-04,TOOL-22,FIX-C3,OP-023,Night,2026-03-27 16:31:19,AOI,63.0,24095,856.5,3.15,0.882,-77.3,0.3021,10.7,0.6982,0.0509,781.3,42.7,None,None,Pass,OK,10.7,10.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
