Subgroup_ID,Process_Time_Start,Process_Time_End,Defect_Count,Subgroup_Size,P_Edge_Chipping,P_CL,P_UCL,P_LCL,P_OOC
1,2026-02-01 00:09:05,2026-02-01 00:53:38,0,5,0.0,0.0447,0.3219,0.0,False
2,2026-02-01 01:00:27,2026-02-01 01:22:41,0,5,0.0,0.0447,0.3219,0.0,False
3,2026-02-01 01:26:42,2026-02-01 01:50:05,0,5,0.0,0.0447,0.3219,0.0,False
4,2026-02-01 01:52:45,2026-02-01 02:18:42,0,5,0.0,0.0447,0.3219,0.0,False
5,2026-02-01 02:37:48,2026-02-01 03:17:25,0,5,0.0,0.0447,0.3219,0.0,False
6,2026-02-01 03:21:32,2026-02-01 03:58:47,0,5,0.0,0.0447,0.3219,0.0,False
7,2026-02-01 04:10:16,2026-02-01 04:40:49,1,5,0.2,0.0447,0.3219,0.0,False
8,2026-02-01 04:44:35,2026-02-01 05:10:38,0,5,0.0,0.0447,0.3219,0.0,False
9,2026-02-01 05:12:34,2026-02-01 05:34:42,0,5,0.0,0.0447,0.3219,0.0,False
10,2026-02-01 05:35:28,2026-02-01 06:15:51,0,5,0.0,0.0447,0.3219,0.0,False
11,2026-02-01 06:28:02,2026-02-01 06:53:39,1,5,0.2,0.0447,0.3219,0.0,False
12,2026-02-01 06:56:20,2026-02-01 07:15:22,0,5,0.0,0.0447,0.3219,0.0,False
13,2026-02-01 07:15:40,2026-02-01 07:57:13,0,5,0.0,0.0447,0.3219,0.0,False
14,2026-02-01 07:58:44,2026-02-01 08:42:50,0,5,0.0,0.0447,0.3219,0.0,False
15,2026-02-01 08:53:35,2026-02-01 09:51:46,0,5,0.0,0.0447,0.3219,0.0,False
16,2026-02-01 10:13:42,2026-02-01 12:16:30,0,5,0.0,0.0447,0.3219,0.0,False
17,2026-02-01 12:21:40,2026-02-01 12:42:35,0,5,0.0,0.0447,0.3219,0.0,False
18,2026-02-01 12:53:22,2026-02-01 14:03:23,0,5,0.0,0.0447,0.3219,0.0,False
19,2026-02-01 14:04:06,2026-02-01 14:54:59,0,5,0.0,0.0447,0.3219,0.0,False
20,2026-02-01 14:55:03,2026-02-01 15:53:31,0,5,0.0,0.0447,0.3219,0.0,False
21,2026-02-01 16:06:13,2026-02-01 16:55:22,1,5,0.2,0.0447,0.3219,0.0,False
22,2026-02-01 17:22:38,2026-02-01 17:50:13,0,5,0.0,0.0447,0.3219,0.0,False
23,2026-02-01 17:59:34,2026-02-01 19:14:49,0,5,0.0,0.0447,0.3219,0.0,False
24,2026-02-01 19:21:32,2026-02-01 19:59:46,1,5,0.2,0.0447,0.3219,0.0,False
25,2026-02-01 20:15:00,2026-02-01 20:47:32,0,5,0.0,0.0447,0.3219,0.0,False
26,2026-02-01 20:52:18,2026-02-01 21:24:27,0,5,0.0,0.0447,0.3219,0.0,False
27,2026-02-01 21:31:51,2026-02-01 22:07:05,1,5,0.2,0.0447,0.3219,0.0,False
28,2026-02-01 22:31:52,2026-02-01 23:11:52,0,5,0.0,0.0447,0.3219,0.0,False
29,2026-02-01 23:25:19,2026-02-02 00:05:51,0,5,0.0,0.0447,0.3219,0.0,False
30,2026-02-02 00:19:55,2026-02-02 01:07:07,0,5,0.0,0.0447,0.3219,0.0,False
31,2026-02-02 01:18:51,2026-02-02 02:01:37,0,5,0.0,0.0447,0.3219,0.0,False
32,2026-02-02 02:40:00,2026-02-02 03:12:48,2,5,0.4,0.0447,0.3219,0.0,True
